x_values,y_values,log_result,computation_time
"[8.090808  7.548978  3.8591962 3.363672  2.8236768 2.6352484 1.996564
 1.9501328]","[7.49338   7.0051656 4.789824  4.188492  3.8993864 2.1411524 1.3786657
 1.300593 ]",141.71466064453125,0.38901519775390625
"[9.749775  7.7507157 7.673208  5.3384686 4.7483773 3.8500874 2.1189156
 1.7782623]","[9.90395   9.251035  8.95838   7.4797845 7.391365  4.077938  3.355092
 1.3053459]",299.3410949707031,0.0003447532653808594
"[9.939679  8.1242485 7.9240527 4.118131  4.0155993 3.1701925 2.2767968
 1.5453124]","[9.994173  9.795185  8.615839  7.601501  7.422532  7.056621  6.494637
 6.1694407]",331.5721435546875,0.00019979476928710938
"[9.809404  7.746849  7.5664735 4.4938293 3.7486033 1.3430406 1.2447226
 1.0232344]","[8.361037  7.4865265 5.336829  4.7361603 3.580389  2.5481904 2.1904554
 1.1588007]",185.92767333984375,0.00020885467529296875
"[8.995797  7.1678085 6.8623323 6.3945084 5.795502  3.6640868 2.9084077
 2.021853 ]","[8.742041  8.222009  6.7497945 6.6247854 5.788846  5.778408  3.492669
 2.658752 ]",271.9679260253906,0.00038433074951171875
"[9.593199  9.111631  8.135514  7.387051  5.163637  2.8358874 2.339609
 1.9267837]","[8.954167  8.266176  7.359318  5.4123273 3.8520057 2.861628  2.5357804
 1.2035797]",260.5821838378906,0.0003361701965332031
"[9.811035  8.741549  7.4396234 6.468535  5.9757123 4.3753624 3.7798672
 2.3653173]","[9.071562  7.5593786 7.303205  6.1934175 5.8112583 2.2382183 2.1030326
 1.6629273]",272.1439208984375,0.0003306865692138672
"[8.15251   7.480677  7.150519  5.8380313 3.9088256 2.1008923 1.9517905
 1.3093274]","[9.508923  9.479237  8.875158  7.6167264 5.834902  5.1809115 3.337779
 2.3635814]",263.8975830078125,0.0001971721649169922
"[7.7092957 7.6020555 6.5821953 5.9857693 4.746683  3.652121  2.8748555
 1.5010989]","[9.406401  8.299272  7.727508  6.8519483 6.728207  4.256411  2.1685343
 1.1521231]",251.45445251464844,0.0002105236053466797
"[9.678244  7.4814563 6.7884912 6.2600513 6.0559177 4.6867843 3.9865766
 1.272785 ]","[9.758448  6.2615395 5.40474   5.360094  2.2098875 2.1084313 1.9155366
 1.2511406]",213.82888793945312,0.0002193450927734375
"[8.999552  7.689274  5.1489534 5.1454067 3.3491569 3.1809502 2.5666997
 1.011365 ]","[9.704818  9.667838  6.8698645 5.6173325 3.6937597 3.2521822 3.2237496
 1.0207775]",225.61978149414062,0.00019097328186035156
"[9.763292  9.080297  5.928237  5.7621098 5.4087944 3.870278  3.6323576
 2.405352 ]","[9.661569  8.535056  7.830418  7.5671773 6.484097  2.8349605 2.5609736
 2.150982 ]",289.9366455078125,0.00020885467529296875
