x_values,y_values,log_result,computation_time
"[9.462059  9.423632  6.159745  5.7111015 4.361442  3.2536917 3.055616
 2.0687594]","[9.110739  8.519106  7.638005  6.0791435 5.130159  4.3474417 3.83751
 3.0148807]",272.5518493652344,5.289141893386841
"[7.315509  7.102621  6.6724505 4.811608  4.3771048 2.5735855 2.3397527
 1.057071 ]","[7.0626345 6.252602  4.7768455 3.8753216 3.455913  3.0673943 2.1687274
 1.8770287]",153.99366760253906,4.69438624382019
"[9.392342  8.982681  8.5214205 8.116876  5.5681944 5.206235  3.26272
 2.5136178]","[8.949927  8.817568  8.333036  8.330374  7.2319527 4.5133743 3.1751192
 2.0189338]",348.52874755859375,5.6677024364471436
"[9.743279  9.361233  8.529579  7.565418  6.827816  6.27264   5.332524
 4.0670147]","[9.9513645 9.834786  6.60813   5.8806667 5.090974  4.795169  2.5532746
 2.5343502]",351.1361999511719,5.675869941711426
"[9.129538  8.907956  6.9383936 6.4018617 5.6903176 4.6779585 4.3282375
 3.8118112]","[9.225765  7.555583  6.5657873 4.75168   3.8122134 3.2793713 2.8122807
 1.6171548]",256.2541809082031,4.733644485473633
"[7.9448595 5.4868145 5.473383  5.246392  4.4480095 4.164307  3.009911
 1.084997 ]","[9.524625  7.8762345 6.5674086 6.3129644 5.301321  4.6513557 4.2441287
 1.7771454]",221.21070861816406,5.359353542327881
"[9.303826  8.840557  6.3878765 6.1761775 4.7934804 4.536085  1.3090667
 1.1353947]","[9.425285  7.6559887 7.075515  6.467098  5.1457014 4.2910094 4.0781803
 3.5200512]",264.63323974609375,3.3627381324768066
"[9.955294  7.92132   5.1788945 4.374219  4.271387  3.1091197 2.5664551
 1.7774168]","[8.970849  8.673957  5.579892  5.4665723 4.1594157 4.143504  4.03191
 3.8133788]",232.25823974609375,5.077946186065674
"[8.912327  8.842129  8.8292675 7.0194554 4.5779843 3.6743534 1.3107468
 1.0312424]","[8.721096  8.248894  8.058021  7.866807  6.7999797 6.509062  6.199046
 4.5362415]",321.84600830078125,4.594363689422607
"[6.2464576 5.4703093 4.315709  4.1881113 3.780467  2.6264195 2.022986
 1.2719932]","[9.243703  6.8671885 6.7545424 6.612359  4.73231   1.7080796 1.6922535
 1.2266874]",154.31175231933594,5.1046037673950195
"[7.6947575 6.8944664 6.682529  6.3153915 5.149269  4.080519  1.7521966
 1.0091184]","[9.79229   9.674781  8.538742  5.200244  4.4890304 3.6519547 3.0439098
 2.1675925]",245.46070861816406,5.904672861099243
"[8.894983  8.699387  7.551181  7.335395  6.9676447 5.28112   4.9218307
 2.0489755]","[9.0620365 8.979488  8.821834  8.351567  7.23063   6.300029  5.8670754
 4.817567 ]",389.3921813964844,5.814491510391235
"[9.521425  7.2794967 7.0130405 5.5532236 5.1360984 3.6299317 3.1319957
 1.6497608]","[9.699453  8.3541975 7.9298024 5.8726187 4.7435784 4.2061486 3.284947
 1.3368661]",259.88134765625,7.342259407043457
"[9.912049  6.0799427 5.899588  4.6823897 2.6206958 2.2843168 2.1598172
 1.9995477]","[9.228246  8.855644  8.021548  7.4822383 6.9147644 4.1660986 2.2581084
 1.9003747]",233.247802734375,4.7848687171936035
"[8.421347  7.611871  7.091417  5.5001564 4.3836055 3.1220694 2.6342025
 1.1887996]","[9.770498  9.6448765 9.519637  9.022354  8.4698715 6.3595996 5.4203715
 1.1901429]",314.3948974609375,6.479201316833496
"[9.7083845 9.541727  8.449538  7.3606153 5.7932963 5.6201167 5.2236047
 2.1056366]","[9.673703  7.7933927 7.7825365 7.170908  6.1145253 2.258546  1.8817365
 1.7706405]",316.26263427734375,6.3995091915130615
"[9.966235  8.900733  8.477757  8.279972  7.253948  6.6949306 6.08867
 4.936743 ]","[9.950045  8.656602  7.519317  5.5450096 4.065208  3.9705367 3.9386153
 1.3777838]",348.7455139160156,3.7662723064422607
"[9.897168  8.917801  6.481287  5.763708  5.7610927 5.229525  3.3424654
 2.6671882]","[9.872796  8.573654  6.1466923 5.0207815 4.909677  4.671709  2.9816718
 2.087582 ]",280.1157531738281,3.6635994911193848
"[7.812132  6.8363333 6.738761  6.236451  4.5676794 3.9507098 2.0528927
 1.593281 ]","[9.972322  8.210816  7.846967  6.762356  6.4616213 5.5353346 5.28549
 2.967616 ]",272.19146728515625,4.0342042446136475
"[9.865306  8.982347  8.199976  7.819346  6.4664297 5.191926  2.9266982
 1.6914252]","[7.195627  6.722102  6.2808466 5.945338  5.9227266 5.15277   3.7307441
 2.6702545]",286.4899597167969,3.498591899871826
"[9.686006  7.0942965 6.8562365 6.805108  6.540074  5.3601484 3.7794647
 2.694491 ]","[9.144369  7.86737   6.145895  4.048053  3.118176  2.5754244 2.349074
 1.6270468]",236.5228729248047,3.9952280521392822
"[7.145252  6.344721  6.118453  4.122795  4.0610743 3.669476  3.5158305
 1.6490345]","[9.725264  6.9738836 5.446299  4.426423  4.0052886 3.516234  1.229713
 1.0503343]",176.0772705078125,2.7693750858306885
"[9.019518  8.93886   7.619077  5.5348043 4.5158687 3.532383  2.7160096
 1.0630898]","[9.125541  8.231329  7.584776  6.7059846 6.1945333 4.256606  3.0290203
 2.0748353]",270.4129943847656,4.503400564193726
"[9.758584  8.0991    6.6623244 5.0863013 4.827998  2.233006  1.7648212
 1.7071354]","[9.854295  9.792617  7.2089567 6.9488564 4.7711277 4.23792   3.0136824
 1.7305179]",262.9403076171875,2.8330063819885254
"[9.311768  9.26123   9.165918  7.361098  7.029253  5.1297026 1.4699101
 1.2368551]","[7.7613673 5.8985453 5.2768884 3.9129553 2.173195  1.6057179 1.3133453
 1.2738171]",199.3649139404297,2.720747232437134
"[9.883075  8.610669  8.411297  4.7416816 4.6487794 4.5120955 4.2920146
 3.3928201]","[9.187426  7.922496  7.8766165 7.7194166 6.9713836 4.1045113 2.8600905
 2.2031565]",308.41827392578125,3.136746883392334
"[8.15268   6.79439   6.386189  5.4855614 4.3387947 3.707763  1.8511733
 1.6943928]","[8.881932  8.294966  7.814651  7.661827  6.98112   5.9466476 3.3984957
 2.9389925]",258.7565002441406,3.5829288959503174
"[9.092888  8.0383    7.414007  5.0439086 3.8170996 3.7695053 2.6230788
 2.071476 ]","[9.951887  8.738216  8.6260195 4.587575  4.4862194 3.414163  2.4682937
 1.3046625]",248.5850372314453,3.9968764781951904
"[8.44975   8.429437  8.135596  7.716478  5.770147  3.173497  3.1249146
 1.3947021]","[9.657864  9.2076645 7.207741  6.7383757 6.6455703 4.96963   3.600778
 2.095191 ]",305.9116516113281,2.488417387008667
"[7.58407   7.086148  5.9990153 4.9589844 3.9252934 3.747788  3.674231
 2.6511528]","[8.738561  7.551818  7.4707565 7.186798  7.1097975 5.903074  1.9878404
 1.3985527]",242.06300354003906,2.5874288082122803
"[9.980363  9.430109  8.022507  5.772608  5.1984596 4.9546766 4.300176
 1.807714 ]","[8.844395  8.73828   7.515884  7.422767  4.694728  3.8702319 3.4902122
 2.9237833]",308.753662109375,2.7634153366088867
"[9.7233925 9.198793  9.182504  9.024143  8.914849  7.069828  6.653116
 6.119778 ]","[9.54841   7.07068   2.552188  2.528312  2.229474  2.1764212 1.697104
 1.4633591]",245.9281768798828,2.2539541721343994
"[9.9619465 9.948881  7.860051  4.669487  3.7368026 2.993925  2.245531
 1.0672934]","[7.1133165 6.723173  5.1541023 4.708967  3.3923125 3.2486172 2.5098271
 1.3313665]",197.423095703125,2.759782075881958
"[9.716566  8.473337  6.1987295 5.198051  4.8819685 4.370068  3.278894
 2.580264 ]","[8.47915   7.826712  5.444962  4.5044627 4.267378  3.8659115 3.403376
 2.8988667]",237.31080627441406,2.40529727935791
"[8.931628  8.687441  6.9794397 6.4436517 5.32951   3.5373516 3.3427153
 1.5452727]","[9.727605  9.08975   7.9118357 7.7621913 7.736557  6.6647463 6.454742
 3.091063 ]",336.9001770019531,2.763939142227173
"[8.717127  7.6042604 5.086976  4.052     2.9620175 2.611528  2.215621
 1.6219839]","[9.992596  9.006933  7.873624  6.8589187 6.8474936 5.846428  3.8711846
 1.8876964]",240.3890380859375,3.167579412460327
"[9.056263  8.560947  8.156691  8.110485  7.442196  5.3151913 3.3825355
 2.258471 ]","[9.7939625 6.025974  5.3876038 5.227994  3.9885688 2.1063714 1.8134689
 1.6098785]",248.10462951660156,3.096442222595215
"[8.46014   7.7760773 6.982297  5.705762  4.684293  4.518006  3.6755023
 2.9414215]","[9.367177  7.9711094 7.389166  6.590188  6.5181227 5.2374473 2.314189
 1.7428002]",272.2669372558594,2.3145487308502197
"[7.736293  7.541399  7.0012894 6.033128  4.174155  3.543749  2.9588022
 2.7682903]","[9.884623  8.185147  8.018386  4.435487  2.8646739 2.779162  1.9218849
 1.1057681]",219.4019012451172,4.146873235702515
"[8.683582  8.401711  8.384005  3.2465506 3.1776211 3.1071124 2.5623126
 2.2093523]","[9.691833  9.482301  8.587509  7.3600044 5.9305687 4.861411  1.7075914
 1.7020028]",267.9766540527344,3.5390713214874268
"[8.698122  6.5582023 5.1581945 4.3991604 3.865684  2.9873044 2.2553716
 1.2820847]","[8.0100565 3.4547942 2.7637434 2.5395987 1.7100354 1.6483833 1.450065
 1.1356071]",111.97964477539062,2.503242015838623
