x_values,y_values,log_result,computation_time
[9.423632  6.159745  3.055616  2.0687594],[9.110739  5.130159  3.83751   3.0148807],124.06046,0.47271823485692344
[7.315509  7.102621  2.3397527 1.057071 ],[7.0626345 4.7768455 3.455913  3.0673943],88.64317,0.47271823485692344
[8.982681  8.5214205 8.116876  2.5136178],[8.949927  8.817568  3.1751192 2.0189338],176.80133,0.47271823485692344
[8.529579 6.827816 6.27264  5.332524],[9.834786  5.8806667 5.090974  4.795169 ],175.54128,0.47271823485692344
[8.907956  6.4018617 5.6903176 4.6779585],[7.555583  4.75168   3.2793713 2.8122807],122.31231,0.47271823485692344
[5.4868145 4.4480095 4.164307  1.084997 ],[9.524625  6.5674086 5.301321  1.7771454],96.15248,0.47271823485692344
[9.303826  8.840557  6.3878765 1.3090667],[9.425285  6.467098  5.1457014 4.0781803],172.83322,0.47271823485692344
[5.1788945 4.374219  4.271387  2.5664551],[8.970849  5.579892  5.4665723 3.8133788],99.056175,0.47271823485692344
[8.912327  8.842129  7.0194554 1.3107468],[8.721096 8.058021 7.866807 6.509062],206.57635,0.47271823485692344
[6.2464576 4.315709  4.1881113 2.022986 ],[9.243703  6.612359  1.6922535 1.2266874],87.111534,0.47271823485692344
[6.682529  6.3153915 5.149269  1.0091184],[9.79229   8.538742  5.200244  2.1675925],137.41838,0.47271823485692344
[8.894983  8.699387  6.9676447 4.9218307],[8.979488  6.300029  5.8670754 4.817567 ],193.75711,0.47271823485692344
[7.2794967 7.0130405 5.5532236 3.1319957],[9.699453  7.9298024 5.8726187 4.7435784],166.25394,0.47271823485692344
[4.6823897 2.6206958 2.1598172 1.9995477],[9.228246  8.855644  8.021548  7.4822383],96.52615,0.47271823485692344
[8.421347  7.091417  3.1220694 2.6342025],[9.770498  9.519637  9.022354  5.4203715],185.3113,0.47271823485692344
[9.7083845 9.541727  5.2236047 2.1056366],[9.673703  7.7825365 7.170908  2.258546 ],198.80128,0.47271823485692344
[9.966235  8.900733  6.6949306 6.08867  ],[7.519317  5.5450096 4.065208  3.9705367],169.42262,0.47271823485692344
[8.917801  6.481287  5.763708  5.7610927],[9.872796  5.0207815 2.9816718 2.087582 ],141.74446,0.47271823485692344
[7.812132  6.8363333 3.9507098 2.0528927],[7.846967  6.762356  6.4616213 5.5353346],139.06027,0.47271823485692344
[7.819346  6.4664297 2.9266982 1.6914252],[6.2808466 5.15277   3.7307441 2.6702545],89.3773,0.47271823485692344
[9.686006  6.540074  5.3601484 3.7794647],[6.145895  4.048053  2.5754244 2.349074 ],100.86252,0.47271823485692344
[4.0610743 3.669476  3.5158305 1.6490345],[5.446299  4.426423  1.229713  1.0503343],40.616344,0.47271823485692344
[8.93886   5.5348043 3.532383  1.0630898],[6.7059846 6.1945333 4.256606  2.0748353],101.05047,0.47271823485692344
[8.0991    6.6623244 5.0863013 1.7071354],[9.854295  9.792617  4.7711277 4.23792  ],166.50972,0.47271823485692344
[9.26123   7.029253  5.1297026 1.4699101],[5.8985453 2.173195  1.3133453 1.2738171],69.83732,0.47271823485692344
[8.411297  4.7416816 4.6487794 4.5120955],[9.187426  7.8766165 4.1045113 2.8600905],140.12038,0.47271823485692344
[8.15268   6.79439   6.386189  4.3387947],[8.881932  8.294966  3.3984957 2.9389925],156.04575,0.47271823485692344
